case_number,total_matches,num_files,file_paths
CR-25-705177-A,7,3,out/2025/2025-705177_20251121_094329.json;out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2025/2025-705177_20251112_094009.json;out/obstructing_cases/out/2025/2025-705177_20251121_094329.json
CR-25-705193-A,3,3,out/2025/2025-705193_20251121_094711.json;out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2025/2025-705193_20251121_094521.json;out/obstructing_cases/out/2025/2025-705193_20251121_094711.json
CR-25-705201-A,2,1,out/2025/2025-705201_20251121_094621.json
CR-25-705204-A,1,1,out/2025/2025-705204_20251121_095050.json
CR-25-705221-A,2,1,out/2025/2025-705221_20251121_095105.json
CR-25-705278-A,6,2,out/2025/2025-705278_20251121_100640.json;out/obstructing_cases/out/2025/2025-705278_20251121_100640.json
CR-25-705320-A,1,1,out/2025/2025-705320_20251112_095619.json
CR-25-705333-A,1,1,out/2025/2025-705333_20251112_095639.json
CR-25-705347-A,3,1,out/2025/2025-705347_20251121_102342.json
CR-25-705356-A,3,1,out/2025/2025-705356_20251121_102548.json
CR-25-705426-A,2,1,out/2025/2025-705426_20251121_103823.json
CR-25-705562-A,2,1,out/2025/2025-705562_20251112_101159.json
CR-25-705588-A,3,1,out/2025/2025-705588_20251121_111752.json
CR-25-705601-A,3,1,out/2025/2025-705601_20251121_111742.json
CR-25-705643-A,2,1,out/2025/2025-705643_20251121_113149.json
CR-25-705657-A,3,1,out/2025/2025-705657_20251121_113442.json
CR-25-705676-A,3,1,out/2025/2025-705676_20251121_113757.json
CR-25-705677-A,3,1,out/2025/2025-705677_20251121_113911.json
CR-25-705692-A,3,1,out/2025/2025-705692_20251121_114220.json
CR-25-705730-A,3,1,out/2025/2025-705730_20251121_114924.json
CR-25-705738-A,3,1,out/2025/2025-705738_20251121_115332.json
CR-25-705752-A,2,1,out/2025/2025-705752_20251121_115815.json
CR-25-705762-A,1,1,out/2025/2025-705762_20251121_115630.json
CR-25-705771-A,3,1,out/2025/2025-705771_20251121_115851.json
CR-25-705873-A,3,1,out/2025/2025-705873_20251121_122949.json
CR-25-705938-A,2,1,out/2025/2025-705938_20251121_124027.json
CR-25-705984-A,1,1,out/2025/2025-705984_20251112_104330.json
CR-25-706007-A,5,2,out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2025/2025-706007_20251112_104448.json;out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2025/2025-706007_20251115_083055.json
CR-25-706089-A,4,3,out/2025/2025-706089_20251121_130808.json;out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2025/2025-706089_20251115_075926.json;out/obstructing_cases/out/2025/2025-706089_20251121_130808.json
CR-25-706151-A,3,1,out/2025/2025-706151_20251121_132315.json
CR-25-706174-A,2,1,out/2025/2025-706174_20251121_132942.json
CR-25-706212-A,2,1,out/2025/2025-706212_20251121_133725.json
CR-25-706257-A,3,1,out/2025/2025-706257_20251121_134220.json
CR-25-706269-A,3,1,out/2025/2025-706269_20251121_134640.json
CR-25-706290-A,2,1,out/2025/2025-706290_20251121_134915.json
CR-25-706460-A,2,1,out/2025/2025-706460_20251209_062624.json
CR-25-706794-A,1,1,out/2025/2025-706794_20251121_153122.json
CR-25-706959-A,2,1,out/2025/2025-706959_20251121_161254.json
